Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,01/01/2020,Northeast,New York,New York,Men's Street Footwear,50.0,1,600.0,300.0,50.0,In-store
Foot Locker,1185732,02/01/2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,1,500.0,150.0,30.0,In-store
Foot Locker,1185732,03/01/2020,Northeast,New York,New York,Women's Street Footwear,40.0,1,400.0,140.0,35.0,In-store
Foot Locker,1185732,04/01/2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,850,382.5,133.875,35.0,In-store
Foot Locker,1185732,05/01/2020,Northeast,New York,New York,Men's Apparel,60.0,900,540.0,162.0,30.0,In-store
Foot Locker,1185732,06/01/2020,Northeast,New York,New York,Women's Apparel,50.0,1,500.0,125.0,25.0,In-store
Foot Locker,1185732,07/01/2020,Northeast,New York,New York,Men's Street Footwear,50.0,1,625.0,312.5,50.0,In-store
Foot Locker,1185732,08/01/2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,450.0,135.0,30.0,Outlet
Foot Locker,1185732,21/01/2020,Northeast,New York,New York,Women's Street Footwear,40.0,950,380.0,133.0,35.0,Outlet
Foot Locker,1185732,22/01/2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,371.25,129.938,35.0,Outlet
Foot Locker,1185732,23/01/2020,Northeast,New York,New York,Men's Apparel,60.0,900,540.0,162.0,30.0,Outlet
Foot Locker,1185732,24/01/2020,Northeast,New York,New York,Women's Apparel,50.0,1,500.0,125.0,25.0,Outlet
Foot Locker,1185732,25/01/2020,Northeast,New York,New York,Men's Street Footwear,50.0,1,610.0,305.0,50.0,Outlet
Foot Locker,1185732,26/01/2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,925,462.5,138.75,30.0,Outlet
Foot Locker,1185732,27/01/2020,Northeast,New York,New York,Women's Street Footwear,40.0,950,380.0,133.0,35.0,Outlet
Foot Locker,1185732,28/01/2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,800,360.0,126.0,35.0,Outlet
Foot Locker,1185732,29/01/2020,Northeast,New York,New York,Men's Apparel,60.0,850,510.0,153.0,30.0,Outlet
Foot Locker,1185732,30/01/2020,Northeast,New York,New York,Women's Apparel,50.0,950,475.0,118.75,25.0,Outlet
Foot Locker,1185732,31/01/2020,Northeast,New York,New York,Men's Street Footwear,50.0,1,600.0,300.0,50.0,Outlet
Foot Locker,1185732,01/02/2020,Northeast,New York,New York,Men's Athletic Footwear,50.0,900,450.0,135.0,30.0,Outlet
Foot Locker,1185732,02/02/2020,Northeast,New York,New York,Women's Street Footwear,40.0,900,360.0,126.0,35.0,Outlet
Foot Locker,1185732,03/02/2020,Northeast,New York,New York,Women's Athletic Footwear,45.0,825,371.25,129.938,35.0,Outlet
Foot Locker,1185732,04/02/2020,Northeast,New York,New York,Men's Apparel,60.0,825,495.0,148.5,30.0,Outlet
Foot Locker,1185732,05/02/2020,Northeast,New York,New York,Women's Apparel,50.0,950,475.0,118.75,25.0,Outlet
Foot Locker,1185732,06/02/2020,Northeast,New York,New York,Men's Street Footwear,60.0,1,732.0,366.0,50.0,Outlet
Foot Locker,1185732,07/02/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,925,508.75,152.625,30.0,Outlet
Foot Locker,1185732,08/02/2020,Northeast,New York,New York,Women's Street Footwear,50.0,900,450.0,157.5,35.0,Outlet
Foot Locker,1185732,09/02/2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,850,425.0,148.75,35.0,Outlet
Foot Locker,1185732,10/02/2020,Northeast,New York,New York,Men's Apparel,60.0,875,525.0,157.5,30.0,Outlet
Foot Locker,1185732,03/03/2020,Northeast,New York,New York,Women's Apparel,65.0,1,650.0,162.5,25.0,Outlet
Foot Locker,1185732,04/03/2020,Northeast,New York,New York,Men's Street Footwear,60.0,1,750.0,375.0,50.0,Outlet
Foot Locker,1185732,05/03/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,1,550.0,165.0,30.0,Outlet
Foot Locker,1185732,06/03/2020,Northeast,New York,New York,Women's Street Footwear,50.0,925,462.5,161.875,35.0,Outlet
Foot Locker,1185732,07/03/2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450.0,157.5,35.0,Outlet
Foot Locker,1185732,08/03/2020,Northeast,New York,New York,Men's Apparel,60.0,900,540.0,162.0,30.0,Outlet
Foot Locker,1185732,09/03/2020,Northeast,New York,New York,Women's Apparel,65.0,1,682.5,170.625,25.0,Outlet
Foot Locker,1185732,10/03/2020,Northeast,New York,New York,Men's Street Footwear,60.0,1,765.0,382.5,50.0,Outlet
Foot Locker,1185732,11/03/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,1,563.75,169.125,30.0,Outlet
Foot Locker,1185732,12/03/2020,Northeast,New York,New York,Women's Street Footwear,50.0,950,475.0,166.25,35.0,Outlet
Foot Locker,1185732,13/03/2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450.0,157.5,35.0,Outlet
Foot Locker,1185732,14/03/2020,Northeast,New York,New York,Men's Apparel,60.0,925,555.0,166.5,30.0,Outlet
Foot Locker,1185732,15/03/2020,Northeast,New York,New York,Women's Apparel,65.0,1,715.0,178.75,25.0,Outlet
Foot Locker,1185732,16/03/2020,Northeast,New York,New York,Men's Street Footwear,60.0,1,750.0,375.0,50.0,Outlet
Foot Locker,1185732,17/03/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,1,563.75,169.125,30.0,Outlet
Foot Locker,1185732,18/03/2020,Northeast,New York,New York,Women's Street Footwear,50.0,950,475.0,166.25,35.0,Outlet
Foot Locker,1185732,31/03/2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,925,462.5,161.875,35.0,Outlet
Walmart,1185732,17/04/2020,Northeast,New York,New York,Men's Apparel,60.0,900,540.0,162.0,30.0,Outlet
Walmart,1185732,18/04/2020,Northeast,New York,New York,Women's Apparel,65.0,1,698.75,174.688,25.0,Outlet
Walmart,1185732,19/04/2020,Northeast,New York,New York,Men's Street Footwear,60.0,1,720.0,360.0,50.0,Outlet
Walmart,1185732,20/04/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,1,550.0,165.0,30.0,Outlet
Walmart,1185732,21/04/2020,Northeast,New York,New York,Women's Street Footwear,50.0,925,462.5,161.875,35.0,Outlet
Walmart,1185732,22/04/2020,Northeast,New York,New York,Women's Athletic Footwear,50.0,900,450.0,157.5,35.0,Outlet
Walmart,1185732,23/04/2020,Northeast,New York,New York,Men's Apparel,60.0,900,540.0,162.0,30.0,Outlet
Walmart,1185732,24/04/2020,Northeast,New York,New York,Women's Apparel,65.0,1,650.0,162.5,25.0,Outlet
Walmart,1185732,25/04/2020,Northeast,New York,New York,Men's Apparel,65.0,875,568.75,170.625,30.0,Outlet
Walmart,1185732,26/04/2020,Northeast,New York,New York,Women's Apparel,70.0,1,700.0,175.0,25.0,Outlet
Walmart,1185732,27/04/2020,Northeast,New York,New York,Men's Street Footwear,65.0,1,747.5,373.75,50.0,Outlet
Walmart,1185732,28/04/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,975,536.25,160.875,30.0,Outlet
Walmart,1185732,29/04/2020,Northeast,New York,New York,Women's Street Footwear,55.0,920,506.0,177.1,35.0,Outlet
Walmart,1185732,30/04/2020,Northeast,New York,New York,Women's Athletic Footwear,55.0,900,495.0,173.25,35.0,Outlet
Walmart,1185732,01/05/2020,Northeast,New York,New York,Men's Apparel,65.0,875,568.75,170.625,30.0,Outlet
Walmart,1185732,02/05/2020,Northeast,New York,New York,Women's Apparel,70.0,975,682.5,170.625,25.0,Outlet
Walmart,1185732,03/05/2020,Northeast,New York,New York,Men's Street Footwear,65.0,1,780.0,390.0,50.0,Outlet
Walmart,1185732,04/05/2020,Northeast,New York,New York,Men's Athletic Footwear,55.0,1,550.0,165.0,30.0,Outlet
Walmart,1185732,05/05/2020,Northeast,New York,New York,Women's Street Footwear,55.0,950,522.5,182.875,35.0,Outlet
Walmart,1185732,06/05/2020,Northeast,New York,New York,Women's Athletic Footwear,55.0,900,495.0,173.25,35.0,Outlet
Walmart,1185732,07/05/2020,Northeast,New York,New York,Men's Apparel,65.0,900,585.0,175.5,30.0,Outlet
Walmart,1185732,18/07/2020,Northeast,New York,New York,Women's Apparel,70.0,1,700.0,175.0,25.0,Outlet
Sports Direct,1197831,19/07/2020,Northeast,New York,New York,Men's Street Footwear,25.0,900,225.0,78.75,35.0,Outlet
Sports Direct,1197831,20/07/2020,Northeast,New York,New York,Men's Athletic Footwear,35.0,900,315.0,110.25,35.0,Outlet
Sports Direct,1197831,21/07/2020,Northeast,New York,New York,Women's Street Footwear,35.0,700,245.0,85.75,35.0,Outlet
Sports Direct,1197831,22/07/2020,Northeast,New York,New York,Women's Athletic Footwear,35.0,700,245.0,110.25,45.0,Outlet
Sports Direct,1197831,23/07/2020,South,Texas,Houston,Men's Apparel,40.0,550,220.0,66.0,30.0,Outlet
Sports Direct,1197831,24/07/2020,South,Texas,Houston,Women's Apparel,35.0,700,245.0,122.5,50.0,Outlet
Sports Direct,1197831,25/07/2020,South,Texas,Houston,Men's Street Footwear,25.0,850,212.5,74.375,35.0,Outlet
Sports Direct,1197831,26/07/2020,South,Texas,Houston,Men's Athletic Footwear,35.0,850,297.5,104.125,35.0,Outlet
Sports Direct,1197831,27/07/2020,South,Texas,Houston,Women's Street Footwear,35.0,675,236.25,82.688,35.0,Outlet
Sports Direct,1197831,28/07/2020,South,Texas,Houston,Women's Athletic Footwear,35.0,625,218.75,98.438,45.0,Outlet
Sports Direct,1197831,29/07/2020,South,Texas,Houston,Men's Apparel,40.0,500,200.0,60.0,30.0,Outlet
Sports Direct,1197831,30/07/2020,South,Texas,Houston,Women's Apparel,35.0,700,245.0,122.5,50.0,Outlet
Sports Direct,1197831,31/07/2020,South,Texas,Houston,Men's Street Footwear,30.0,875,262.5,91.875,35.0,Outlet
Sports Direct,1197831,01/08/2020,South,Texas,Houston,Men's Athletic Footwear,40.0,875,350.0,122.5,35.0,Outlet
Sports Direct,1197831,02/08/2020,South,Texas,Houston,Women's Street Footwear,35.0,700,245.0,85.75,35.0,Outlet
Sports Direct,1197831,03/08/2020,South,Texas,Houston,Women's Athletic Footwear,40.0,600,240.0,108.0,45.0,Outlet
Sports Direct,1197831,04/08/2020,South,Texas,Houston,Men's Apparel,45.0,500,225.0,67.5,30.0,Outlet
Sports Direct,1197831,05/08/2020,South,Texas,Houston,Women's Apparel,40.0,650,260.0,130.0,50.0,Outlet
Sports Direct,1197831,06/08/2020,South,Texas,Houston,Men's Street Footwear,30.0,900,270.0,94.5,35.0,Outlet
Sports Direct,1197831,07/08/2020,South,Texas,Houston,Men's Athletic Footwear,40.0,900,360.0,126.0,35.0,Outlet
Sports Direct,1197831,08/08/2020,South,Texas,Houston,Women's Street Footwear,35.0,725,253.75,88.813,35.0,Outlet
Sports Direct,1197831,09/08/2020,South,Texas,Houston,Women's Athletic Footwear,40.0,625,250.0,112.5,45.0,Outlet
Walmart,1197831,10/08/2020,South,Texas,Houston,Men's Apparel,45.0,525,236.25,70.875,30.0,Outlet
Walmart,1197831,11/08/2020,South,Texas,Houston,Women's Apparel,40.0,800,320.0,160.0,50.0,Outlet
Walmart,1197831,12/08/2020,South,Texas,Houston,Men's Street Footwear,30.0,925,277.5,97.125,35.0,Outlet
Walmart,1197831,13/08/2020,South,Texas,Houston,Men's Athletic Footwear,40.0,925,370.0,129.5,35.0,Outlet
Walmart,1197831,14/08/2020,South,Texas,Houston,Women's Street Footwear,35.0,775,271.25,94.938,35.0,Outlet
Walmart,1197831,15/08/2020,South,Texas,Houston,Women's Athletic Footwear,40.0,700,280.0,126.0,45.0,Outlet
Walmart,1197831,16/08/2020,South,Texas,Houston,Men's Apparel,45.0,600,270.0,81.0,30.0,Outlet
Walmart,1197831,17/08/2020,South,Texas,Houston,Women's Apparel,40.0,950,380.0,190.0,50.0,Outlet
Walmart,1197831,18/08/2020,South,Texas,Houston,Men's Street Footwear,40.0,950,380.0,133.0,35.0,Outlet
Walmart,1197831,19/08/2020,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427.5,149.625,35.0,Outlet
Walmart,1197831,20/08/2020,South,Texas,Houston,Women's Street Footwear,40.0,800,320.0,112.0,35.0,Outlet
Walmart,1197831,21/08/2020,South,Texas,Houston,Women's Athletic Footwear,40.0,750,300.0,135.0,45.0,Outlet
Walmart,1197831,22/08/2020,South,Texas,Houston,Men's Apparel,45.0,650,292.5,87.75,30.0,Outlet
Walmart,1197831,23/08/2020,South,Texas,Houston,Women's Apparel,50.0,1,500.0,250.0,50.0,Outlet
Walmart,1197831,24/08/2020,South,Texas,Houston,Men's Street Footwear,40.0,950,380.0,133.0,35.0,Outlet
Walmart,1197831,25/08/2020,South,Texas,Houston,Men's Athletic Footwear,45.0,950,427.5,149.625,35.0,Outlet
Walmart,1197831,26/08/2020,South,Texas,Houston,Women's Street Footwear,40.0,1,440.0,154.0,35.0,Outlet
Walmart,1197831,27/08/2020,South,Texas,Houston,Women's Athletic Footwear,40.0,700,280.0,126.0,45.0,Outlet
Walmart,1197831,28/08/2020,South,Texas,Houston,Men's Apparel,45.0,700,315.0,94.5,30.0,Outlet
Walmart,1197831,29/08/2020,South,Texas,Houston,Women's Apparel,50.0,975,487.5,243.75,50.0,Outlet
Walmart,1197831,30/08/2020,South,Texas,Houston,Men's Street Footwear,40.0,925,370.0,129.5,35.0,Outlet
Walmart,1197831,31/08/2020,South,Texas,Houston,Men's Athletic Footwear,45.0,925,416.25,145.688,35.0,Outlet
Walmart,1197831,01/09/2020,South,Texas,Houston,Women's Street Footwear,40.0,1,440.0,154.0,35.0,Outlet
Walmart,1197831,02/09/2020,South,Texas,Houston,Women's Athletic Footwear,40.0,650,260.0,117.0,45.0,Outlet
Walmart,1197831,03/09/2020,South,Texas,Houston,Men's Apparel,45.0,650,292.5,87.75,30.0,Outlet
Walmart,1197831,04/09/2020,South,Texas,Houston,Women's Apparel,50.0,900,450.0,225.0,50.0,Outlet
Walmart,1197831,05/09/2020,South,Texas,Houston,Men's Street Footwear,45.0,850,382.5,133.875,35.0,Outlet
Walmart,1197831,06/09/2020,South,Texas,Houston,Men's Athletic Footwear,45.0,850,382.5,133.875,35.0,Outlet
Walmart,1197831,07/09/2020,South,Texas,Houston,Women's Street Footwear,50.0,900,450.0,157.5,35.0,Outlet
Walmart,1197831,08/09/2020,South,Texas,Houston,Women's Athletic Footwear,50.0,625,312.5,140.625,45.0,Outlet
